nombre,aves,flora,fauna,barrio,estadoConservacion,area,temperatura,turismo,caudalEntrada,caudalSalida
La Babilla,34,100,54,Ciudad Jardin,En conservacion,12.2,24.5,true,120.5,110.2
Cañasgordas,127,63,90,Pance,Recuperado,9.5,23.0,true,150.0,142.5
El Pondaje,79,53,69,Aguablanca,En recuperacion,14.7,26.0,false,180.0,170.0
Charco Azul,54,40,32,Oriente,Recuperado,3.5,27.1,false,90.0,88.5
Lago de las Garzas,148,63,149,Pance,En conservacion,4.7,22.8,true,210.0,205.5La Babilla,34,100,54,Ciudad Jardin,En conservacion,12.2,24.5,true,120.5,110.2
Cañasgordas,127,63,90,Pance,Recuperado,9.5,23.0,true,150.0,142.5
El Pondaje,79,53,69,Aguablanca,En recuperacion,14.7,26.0,false,180.0,170.0
Charco Azul,54,40,32,Oriente,Recuperado,3.5,27.1,false,90.0,88.5
Lago de las Garzas,148,63,149,Pance,En conservacion,4.7,22.8,true,210.0,205.5
Isaías Duarte Cancino,43,202,36,Aguablanca,En recuperacion,4.79,25.8,false,130.0,120.5
El Limonar,54,160,34,El Limonar,Recuperado,0.79,26.2,true,80.0,76.5
El Retiro,51,51,148,Pance,En conservacion,1.7,23.5,true,115.0,110.0
Panamericano,63,149,90,Ciudad Pacifica,Recuperado,3.3,24.1,false,140.5,132.0
Universidad del Valle,36,132,54,Melendez,En conservacion,4.65,24.0,true,160.0,150.0
